id	name	abb	category	pmid	source	samples	species	min	max	med	avg	dev	und	cut	ovr	inc	m	f	stage	who	region	methods	results	conclusions	validated	diag	prog	pred	ther	cost	relevance	implications	effect	comments	curator
734	Tumor-associated glycoprotein-72	TAG-72	Protein	21786013	Tissue	GBM=22;Grade I, II, III A=130;Control= 	Homo Sapiens	37	63								90	62	I;II;III;IV		China	Immunohistochemistry;Western blot;	 No TAG-72 expression was found in the non-cancerous brain tissues;TAG-72 protein expression was identified in 80 patients with glioma (52.6%);The expression level of TAG-72 protein was increased from gliomas with low grades to those with high grades;The highest mean value of TAG-72 protein was found in patients with GBM, whereas the lowest mean values were found in those with grade I astrocytoma	Provide convincing evidence for the first time that the expression of TAG-72 is up-regulated in human gliomas;The expression levels of TAG-72 in gliomas were associated with the severity of the tumor	No		NA	NA	NA	NA	NA	NA	NA	No comment for TAG-72 as a diagnostic, prognostic or predictive biomarker	
445	Primate specific miR-663	miR-663	RNA	24523440	Tissue	Grade I A=17;Grade II A=52;Grade III A=62;GBM=125	Homo Sapiens	1	64								154	102	I;II;III;IV	2007	China	Real tome RT-PCR;Westen blot;Gene cloning and lentiviral vector generation;Immunohistochemistry;Kolmogorov-Smirnov test;ANOVA;Cox model;Kaplan Meier Curves	miR-663 is associated with bettwer prognosis in human GBM;miR-663 inhibits the proliferation and invasion of GBM cells in vitro and in vivo;miR-663 directly targets PIK3CD and inhibits its signaling;Reduced miR-663 expression correlates with the high level of PIK3CD in human GBM	miR-663 is a novel prognostic biomarker and a potential therapeutic candidate for glioblastoma	Yes	NA	YES	NA	Potential	NA	NA	NA	NA	NA	
909	Aurora B expression	Aurora B	DNA;Protein	17264249	Tissue;Cell line	GBM=25	Homo Sapiens	22	64								17	8	IV	2000	USA	Immunohistochemistry;Western blot;Fluorescence in situ hybridisation	Aurora B expression levels were markedly correlated with a shortened survival;Aurora B expression was not directly related to age, tumour proliferation status or to several common molecular changes found in GBMs	Aurora B may be a prognostic feature of impaired survival and a novel therapeutic target in some patients	No	NA	Potential	NA	Potential	NA	NA	NA	NA	NA	BP
1001	Ki-67 proliferation index	Ki-67	Protein	9870820	Tissue	14 GBM;7 AA;3 OA;3 A	Homo sapiens	22	64								NA		NA	NA	USA	Immunochemistry	PI did not correlate with survival after either initial or recurrent surgery for any tumor type. PI difference between specimens also did not correlate with survival	Ki-67 PI does not confer additional prognostic informa- tion for patients with recurrent astroglial neoplasms	No	NA	NA	NA	NA	NA	NA	NA	NA	None	Cristian
980	MIB-1 labeling index 	MIB-1	Protein	11882906	Tissue	15 GBM;11 AA;30 DA; 8 PA	Homo sapiens	4	65								NA		NA	Pre 2007	India	Immunochemistry	Higher the MIB-1 LI, shorter was the interval to recurrence 	Potential role of MIB-1 LI of the initial tumor in determining interval to recurrence 	No	NA	NA	NA	NA	NA	NA	NA	NA	None	Cristian
786	EGFR amplification/expression, p53 immunoreactivity	EGFR;P53	DNA;Protein	20702468	Tissue	140 GBM	Homo Sapiens	18	65	47							NA		IV	Pre 2010	India	Tumours from a uniformly treated prospective cohort of adult patients with newly diagnosed glioblastoma (n=140) were examined for EGFR amplification by fluorescence in situ hybridisation and EGFR/p53 expression by immunohistochemistry. Statistical methods were employed to assess the degree of association between EGFR amplification/overexpression and p53 immunopositivity. Survival analyses were performed by employing Cox proportional hazard models to assess the independent prognostic value of EGFR/p53 alterations and test the propensity for risk with age by assessing their interaction with patient age.	A strong positive correlation between EGFR amplification and EGFR overexpression (rho=0.5157; p<0.0001; CI 0.3783 to 0.6309) and a negative association of EGFR amplification (rho=-0.3417; p<0.0001; CI -0.4842 to -0.1816) and EGFR overexpression (rho=-0.3095; p<0.001; CI -0.4561 to -0.1465) with p53 immunopositivity was observed. Only patient age (HR: 1.029; p=0.004; CI 1.009 to 1.049) was associated with shorter survival by univariate Cox regression analysis. Multivariable Cox proportional hazards models revealed a statistically significant interaction between EGFR overexpression and age to be associated with shorter survival (HR: 1.001; p<0.0001; CI 1.000 to 1.002), thus predicting a higher hazard with increasing age. No age interaction of EGFR amplification status (HR: 1.001; p=0.642; CI 0.995 to 1.008) and p53 immunopositivity (HR: 1.000; p=0.841; CI 0.999 to 1.001) was noted in this cohort.	The prognostic value of EGFR overexpression is age-dependent, and there is a propensity for a higher hazard with increasing patient age. Identifying such groups of patients with more aggressive disease becomes mandatory, since they would benefit from intense therapeutic protocols targeting EGFR.	Yes	NA	Potential	NA	Potential	NA	The receptor for epidermal growth factor (EGFR) is a prime target for cancer therapy across a broad variety of tumor types.	NA	NA	While amplification and mutation of EGFR are characteristic features of GBM, there is a paucity of delivery methods to cross the BBB for EGFR-targeting drugs and treatments.	Erik Samelsson
922	hTERT MNS16A (study has been revoked later)		DNA	16575014	Tissue	GBM=299	Homo Sapiens	20	65								NA		IV	2000	USA	PCR;Karnofsky performance status;Cox model;Survival curves	Overall survival differed significantly by hTERT MNS16A genotype, with median survivals of 25.1, 14.7, and 14.6 months for the SS, SL, and LL genotypes, respectively;Compared with the SS genotype, the hazard ratios for the SL and LL genotypes were 1.69 and 1.87, respectively, after adjustment for other factors;Multivariate Cox regression analysis showed an independent statistically significant association between the hTERT MNS16A variant genotype and outcome	A functional hTERT MNS16A genotype is a potential biomarker for assessment of survival outcome of GBM	No	NA	Potential	NA	NA	NA	NA	NA	NA	NA	BP
701	Toll-like receptor 9 expression	TLR9	Protein	22169598	Tissue;Cell line	GBM=125	Homo Sapiens	28	65								76	49	IV	2007	China	Immunohistochemistry;Enzyme-linked immunosorbent assay;ELISA;Kaplan-Meier curves;Cox model	There was a high significant difference in both progression-free survival and overall survival between TLR9+ and TLR9− patients, with poorer outcome in TLR9+ patients;In in vitro glioma cells, there was a positive correlation between the protein levels of TLR9 and both matrix metalloproteinase (MMP)-2 and MMP-9, but no relationship between TLR9 levels and levels of interleukin-6, transforming growth factor-β2 or signal transducer and activator of transcription (STAT)-3	Data indicate that TLR9 expression correlates with PFS and OS in patients with GBM;Immune microenvironment of TLR9 can be simulated in vitro;Because the CpG ODN is a TLR9 agonist, caution is recommended when injecting the TLR9 agonist CpG ODN directly into glioma tissues as part of glioma immunotherapy	No	NA	Potential	NA	NA	NA	NA	NA	NA	NA	
809	miRNA-181b/c	miRNA-181b/c	RNA	20353279	Tissue	22 primary GBM	Homo Sapiens	28	65	55							14	8	IV	Pre 2010	Czech Republic	In this study, we examined the expression levels of selected microRNAs in 22 primary glioblastomas and six specimens of adult brain tissue by real-time PCR method. In addition, we examined methylation status of MGMT promoter by methylation-specific real-time PCR, as this has been shown to be a predictive marker in glioblastomas.	MGMT methylation status was not correlated with response to concomitant chemoradiotherapy with temozolomide (RT/TMZ). MiR-221 (p=0.016), miR-222 (p=0.038), miR-181b (p=0.036), miR-181c (p=0.043) and miR-128a (p=0.001) were significantly down-regulated in glioblastomas. The most significant change was observed for up-regulation in miR-21 expression in glioblastomas (p<0.001). MiR-181b and miR-181c were significantly down-regulated in patients who responded to RT/TMZ (p=0.016; p=0.047, respectively) in comparison to patients with progredient disease. 	Our data indicate for the first time that expression levels of miR-181b and miR-181c could serve as a predictive marker of response to RT/TMZ therapy in glioblastoma patients.	Potential	NA	NA	Potential	NA	NA	NA	NA	NA	Standard RTPCR paper examining patient outcome and methylation status of MGMT, an established GBm biomarker for TMZ therapy.	Erik Samelsson
823	Telomere architecture		Other	20126476	Tissue	11 patients	Homo Sapiens	24	66	46.5							8	3	II;III;IV	Pre 2010	Canada	GBM patient samples were examined by three-dimensional fluorescent in situ hybridization of telomeres using two independent three-dimensional telomere-measurement tools (TeloView program [P(1)] and SpotScan system [P(2)]). These measurements identified three patients categories (categories 1-3), displaying significant differences in telomere numbers/nucleus (P(1) = .0275; P(2) <or= .0001), telomere length (P(1) and P(2) = .0275), and number of telomeric aggregates (P(1) = .0464; P(2) <or= .0001).	These categories corresponded to patients with long-term, intermediate, and short-term survival, respectively (P = .0393). The time to progression analyses showed significant differences between the three categories (P = .0167). There was a correlation between time to progression, median survival, and nuclear telomere architecture.	Our study suggests a link between patient outcome and three-dimensional nuclear-telomere organization and highlights the potential clinical power of telomere signatures as a new prognostic, predictive, and potentially pharmacodynamic biomarker in GBM. Furthermore, novel automated three-dimensional high-throughput scanning as developed here permits to obtain data from 300 nuclei in 20 minutes. This method is applicable to any cell type and scanning application.	Potential	NA	Potential	Potential	Potential	NA	NA	NA	NA 	Telomere architecture correlated to patient outcome.	Erik Samelsson
719	EGFR -191C/A 	EGFR -191C/A 	DNA	21960689	Tissue	GBM=113;Gliosarcoma=3;AA=5;DA=15;O=30;AO=28;AOA=2;OA=2;Control=168	Homo Sapiens	28	66								207	157	II;III;IV	2007	Portugal	Genotyping;Unconditional multivariate logistic regression;Cox regression;Chi-square test	 None of the EGFR −216G/T variants was significantly associated with glioma risk;The −191C/A genotype was associated with higher risk for glioma when the (CA)n alleles were classified as short for ≤16 or ≤17 repeats;Independently of the (CA)n repeat cutoff point used, shorter (CA)n repeat variants were significantly associated with increased risk for glioma, particularly glioblastoma and oligodendroglioma;In all tested models with different (CA)n cutoff points, only −191C/A genotype was consistently associated with improved survival of patients with GBM	Findings implicate EGFR −191C/A and the (CA)n repeat polymorphisms as risk factors for gliomas, and suggest −191C/A as a prognostic marker in GBM	No	NA	YES	NA	NA	NA	NA	NA	NA	NA	
446	Cripto-1 expression	Cripto-1	Protein	24521322	Tissue;Cell line;Blood	GBM=28;LGG=4	Homo Sapiens;Mus musculus	60	66								17	11	IV;I;II	2007	Denmark	Xenograft model;RT-PCR;Western blot;ELISA;Immunohistochemistry;Mantel-Cox test;Kaplan Meier curves	CR‐1 transcript was identified in nine representative GBM tumor samples, with amplicon size comparable with that found in the positive control, U87 37;CR‐1 transcript was differentially expressed in a group of representative GBM tumor samples with an average relative expression level of 2.9, and expression levels in some instances were twofold higher than that found in the positive control, U87 37;Elevated CR-1 protein in the blood of GBM patients;CR‐1‐positive tumor cells have dual phenotypes; Within the patient cohort, we found high CR‐1 protein levels in blood plasma to significantly correlate with a shorter overall survival	Data suggest that CR‐1 could be a prognostic biomarker for GBM with the potential of being a therapeutic target	No	NA	Potential	NA	Potential	NA	NA	NA	NA	A potential tissue as well as blood biomarker	
166	Amino acid ADP-ribosyltransferase 1	ART1	Enzyme	27466078	Tissue	26 diffuse A;33 AA;48 GBM	Homo Sapiens	27	67	46							NA		II;III;IV	NA	China	 RT-qPCR;Immunohistochemical assessment	expression level of ART1 mRNA in glioma tissues 4-fold higher than that in normal brain tissues		Concrete	NA	YES	NA	NA	NA	NA	NA	ART1 overexpression in U251 glioblastoma cells could significantly decrease the susceptibility to vincristine (VCR)	ART1 upregulation is associated with aggressiveness of glioma;ART1 may mediate VCR resistance	Vanessa
724	miR-195;miR-196b;miR-181c;miR-21;O6-methylguanine-DNA methyltransferase promoter methylation	miR-195;miR-196b;miR-181c;miR-21;MGMT	RNA;DNA	21895872	Tissue	GBM=38	Homo Sapiens	28	67								19	19	IV	NA	Czech Republic	Stem-loop RT-PCR;Bisulfite conversion of DNA;High-resolution melting analysis;Mann-Whitney U-test;Kaplan Meier method;Log-rank test;Fischer's exact test	MGMT methylation status correlated with progression‐free survival as well as with overall survival;MiR‐195 and miR‐196b positively correlated with overall survival;Evaluation of miR‐181c in combination with miR‐21 predicted time to progression within 6 months of diagnosis with 92% sensitivity and 81% specificity	Data confirmed that the methylation status of MGMT but also miR‐21, miR‐181c, miR‐195, and miR‐196b to be associated with survival of GBM patients;Suggests that the combination of miR‐181c and miR‐21 could be a very sensitive and specific test to identify patients at high risk of early progression after surgery	No	NA	Potential	Potential	NA	NA	Confirmed the impact of MGMT promoter methylation status on the favorable outcome after RT/TMZ therapy in GBM patients	NA	NA	NA	
962	Microsatellite instability		DNA	12908754	Tissue	7 AA;8 GBM	Homo sapiens	2	68								NA		NA	Pre 2007	Poland	Immunochemistry;PCR	Low-level microsatellite instability was observed in 40% pediatric cases and 67% adult GBM 	MSI occurs predominantly in malignant astrocytic tumors of young patients	No	NA	NA	NA	NA	NA	NA	NA	NA	None	Cristian
556	MGMT;1p/19q LOH;IDH1	MGMT;1p/19q;IDH1	Protein	23494873	Tissue	101 GBM	Homo Sapiens	13	68								64	37	IV	2007	china	FISH;MS-PCR;sequencing	IDH1 mutation and MGMT promoter methylation were significantly more frequent in the long-term survivors group (GBM patients who live more than 36 months)	IDH1 mutation and MGMT promoter methylation might be independent, significant, and favorable factors for LTSs with GBM.	no	NO	YES	NA	NO	NA	NA	NA	NA		ANA
527	Endothelial cell marker CDH5	CDH5	Protein	23645533	Tissue	31 GBM	Homo Sapiens	24	68								19	12	IV	NA	China	primary GBM cell line; real time-PCR; Western blotting; immunohistochemistry; cell sorting; xenograft tumors	CDH5 is overexpressed in GBM and play a role in angiogensis	CDH5 Expression Levels Are Associated With Glioma Grades: higher expression is associated with poorer prognosis	yes	NO	YES	YES	Potential	NA	NA	NA	target CDH5 may have a therapeutic benefit for glioma patients	NA	ANA
37	circular RNAs		RNA	29920451	Tissue	3 GBM	Homo Sapiens	50	68								3	0	IV	Post 2010	China	Human circular RNA microarray;qRT-PCR;bioinformatics/statistics	ompared with the adjacent normal brain tissues, 254 circRNAs were upregulated and 361 circRNAs were downregulated in IDH-wt glioblastoma with a ≥1.5-fold change. A total of 12 differentially expressed circRNAs were randomly selected and validated a good correlation of results from circRNA-seq with qRT-PCR. Gene Ontology (GO) analysis revealed the differentially expressed circRNAs possibly involved in cell division, DNA damage repair, cytoskeleton, and protein ubiquitination. 46 and 50 miRNAs were predicted to be adsorbed by the top 10 upregulated circRNAs and top 10 downregulated circRNAs, respectively.	Differential expression of circRNAs may be associated with IDH-wt glioblastoma development and progression, and these circRNAs can be identified as biomarkers for prognosis prediction and targets for treatment.	Potential	NA	Potential	NA	Potential	NA	NA	NA	NA	Standard small-size trial examining upregulation and downregulation of a panel of circular RNAs. 	Erik Samuelsson
964	MAPK	MAPK	Protein	12888899	Tissue	26 GBM	Homo sapiens	29	69								14	12	NA	NA	Germany	Immunochemistry	MAPK expression was found in 80.8% of the tumors	Expression of MAPK and activated pMAPK was significantly correlated with survival time	No	NA	NA	NA	NA	NA	NA	NA	NA	 MAPK pathway is correlated with proliferation in GBM	Cristian
960	Telomerase activity		Protein	14612923	Tissue	31 GBM	Homo sapiens	10	70								NA		NA	NA	Italy	Immunochemistry;FISH;TRAP assay	Telomere number was inversely correlated with TA 	TeNo seems to be inversely correlated to tumor proliferation and lifetime in GBM	No	NA	NA	NA	NA	NA	NA	NA	NA	None	Cristian
869	p53 expression;CD31 expression	p53;CD31	DNA	18821037	Tissue	45  astrocytoma	Homo Sapiens	11	70		35.02						33	12	I;II;III;IV	Pre 2010	Egypt	This retrograde study included 45 cases with astrocytomas in the form of paraffin blocks. Sections were stained with hematoxylin and eosin to determine the type and histological grade according to WHO (2007) classification of CNS tumors. Immunostaining was done using anti p53 and CD31 and the results were measured as labeling index (LI) using image analyzer system CAS-200.	Both p53 and CD31 expressions were correlated well with the histopathological grades of different subtypes of astrogliomas with good discrimination between low and high grades. Overall, a highly significant statistical correlation was observed between the grades of astrocytomas and the p53 and CD31 labeling indices. The expressions of p53 and CD31 were markedly increased in glioblastoma multiforme (GBM) with mean values (59.7 +/- 13.5) (P = 0.0001) and (40.7 +/- 8.9) (P = 0.001), respectively. Obviously, these observations demonstrate that the co-expression and increased levels of p53 and CD31 in astrogliomas are increasing as the tumor grade is increasing.	The estimation of p53 and CD31 could be used as good tools to assess the grade, prognosis, and aggressiveness of the astroglial tumors. Thus, the two markers can be used as adjunct to the diagnosis and stratification of the high grade from the low-grade intrinsic brain astrogliomas.	Potential	NA	Potential	Potential	NA	NA	CD31 is a marker of microvascularity, while p53 is a cancer suppressor.	NA	NA	Biomarker correlated with tumor grade paper.	Erik Samelsson
469	hsa-miR-628-5p;hsa-miR-524-5p;hsa-miR-938;hsa-miR-595;hsa-miR-346	hsa-miR-628-5p;hsa-miR-524-5p;hsa-miR-938;hsa-miR-595;hsa-miR-346	RNA	24194606	Tissue	GBM=64;Grade III=33;Grade II=63	Homo Sapiens	12	70								96	64	II;III;IV	2007	China	Differential expression analysis;Construction of FMRN by integrative computational method;Unsupervised hierarchial clustering;miRNA risk scoring system development and validation;Cox model;Functional analysis of miRNAs via their targets in the FMRN	After randomly dividing GBM patients into training and test sets with equal number in each group a five-miRNA signature was identified;Of these five miRNAs, hsa-miR-628-5p and hsa-miR-524-5p were found to be protective miRNAs and other three (hsa-miR-938, hsa-miR-595 and hsa-miR-346) were noted to act as risky factors in GBM;Segregared samples in training set into high- and low-risk groups exhibited significantly different survival times;The median survival time of high-risk group was 9.68 months and that of low-risk group was 17.77 months;The five-miRNA signature also showed better prediction of survival than age, sex and IDH1 mutation status with regard to overall survival in the combined GBM patients	Functional analysis of these miRNA signatures highlighted their critical roles in cell cycle and cell proliferation in GBM malignant progression, especially hsa-miR-524-5p and hsa-miR-628-5p exhibited dominant regulatory activities;Therefore, network-based biomarkers are expected to be more effective and provide deep insights into the molecular mechanism of glioma malignant progression	Yes	NA	YES	NA	NA	NA	NA	NA	NA	A good bioinformatic approach to biomarker discovery in GBM	
631	miR‐181d, miR‐518b, miR‐524‐5p, miR‐566, and miR‐1227	miR-181d;miR-518b;miR-524-5p;miR-566;miR-1227	RNA	22990979	Tissue	GBM Set1=82;GBM Set2=31	Homo Sapiens	17	70								71	46	IV	2007	China	miRNA expression profiling;qRT-PCR;Pyrosequencing;Cox model;ROC curve analysis;Kaplan-Meier method	Patients who had high risk scores according to the 5-microRNA signature had poor overall survival and progression-free survival compared with patients who had low risk scores;The 5-microRNA signature was an independent prognostic biomarker after adjusting for other clinicopathologic and genetic factors, such as extent of resection, temozolomide chemotherapy, preoperative Karnofsky performance status score, isocitrate dehydrogenase 1 (IDH1) mutation, and O-6-methylguanine-DNA methyltransferase (MGMT) promoter methylation status	The 5-microRNA signature was identified as an independent risk predictor that identified patients who had a high risk of unfavorable outcome, demonstrating its potential for personalizing cancer management	Yes	NA	YES	NA	NA	NA	NA	NA	NA	NA	Ahmed
664	miR-181d	miR-181d	RNA	22570426	Tissue;Cell line	GBM Set1=82;GBM Set2=35	Homo Sapiens	17	70								71	46	IV	NA	China;USA	DNA, RNA and miRNA profiling;Immunoblotting;Cox model	An association of miR-181d with survival was evident in patients who underwent TMZ treatment but was not observed in patients without TMZ therapy;Bioinformatic analysis of potential genes regulated by miR-181d revealed methyl-guanine-methyl-transferase (MGMT) as a downstream target;Transfection of miR-181d downregulated MGMT mRNA and protein expression;Exhibited a direct interaction between miR-181d and MGMT 3′UTR;The suppressive effect of miR-181d on MGMT expression was rescued by the introduction of an MGMT cDNA. MGMT expression inversely correlated with miR-181d expression in independent GBM cohorts	Results suggest that miR-181d is a predictive biomarker for TMZ response and that its role is mediated, in part, by posttranscriptional regulation of MGMT	Yes	NA	NA	Yes (Of TMZ response)	NA	NA	NA	NA	NA	NA	Ahmed
